Id,SalePrice
1461,125667.5
1462,156005.25
1463,178859.35
1464,186243.5
1465,208849.56
1466,182600.89
1467,172939.37
1468,175489.51
1469,179036.41
1470,122881.2
1471,193636.45
1472,90771.0
1473,106094.5
1474,154129.0
1475,139575.19
1476,368596.01
1477,248784.36
1478,301658.8
1479,253562.5
1480,443177.59
1481,303184.08
1482,212408.56
1483,181782.68
1484,171646.95
1485,172285.44
1486,200068.28
1487,337253.48
1488,234309.81
1489,210408.3
1490,201063.7
1491,194957.75
1492,99543.25
1493,179718.32
1494,290403.9
1495,297745.54
1496,217210.03
1497,193756.57
1498,151576.15
1499,151054.34
1500,154607.28
1501,165658.19
1502,163485.82
1503,308405.97
1504,229096.27
1505,220600.77
1506,190206.0
1507,229261.3
1508,202661.97
1509,166675.52
1510,151135.5
1511,152444.5
1512,168268.5
1513,153212.68
1514,159441.69
1515,167449.86
1516,159662.05
1517,149434.75
1518,128331.66
1519,221359.15
1520,136498.0
1521,146952.5
1522,166195.5
1523,110326.04
1524,121660.5
1525,125192.16
1526,127045.5
1527,109907.04
1528,127234.0
1529,139517.25
1530,163919.35
1531,134520.5
1532,109108.5
1533,143498.72
1534,116114.0
1535,155645.48
1536,121154.33
1537,83054.5
1538,196064.35
1539,247877.11
1540,116502.04
1541,149351.24
1542,152176.3
1543,214662.45
1544,79984.0
1545,109166.83
1546,122223.0
1547,135255.5
1548,139801.95
1549,119336.0
1550,149943.5
1551,121135.5
1552,150074.77
1553,148510.87
1554,110772.78
1555,176619.5
1556,96051.33
1557,123771.5
1558,95307.0
1559,119319.27
1560,153536.84
1561,146132.0
1562,127534.0
1563,119621.41
1564,163434.72
1565,151105.26
1566,207695.91
1567,82330.87
1568,226426.9
1569,154665.69
1570,133984.75
1571,134023.46
1572,149307.5
1573,232665.11
1574,124020.55
1575,198392.0
1576,210729.21
1577,206203.23
1578,143387.35
1579,145557.2
1580,194946.19
1581,140356.5
1582,129751.14
1583,330803.81
1584,247147.73
1585,139330.0
1586,77845.0
1587,111480.0
1588,152540.49
1589,103640.54
1590,134186.12
1591,103267.0
1592,126336.25
1593,121150.33
1594,132472.7
1595,133683.92
1596,221532.73
1597,169970.16
1598,188780.13
1599,210738.62
1600,202306.12
1601,85449.25
1602,116847.5
1603,106222.66
1604,285506.87
1605,249736.9
1606,165531.0
1607,163399.45
1608,218460.61
1609,204423.22
1610,160412.32
1611,150687.74
1612,168096.14
1613,172238.63
1614,121034.04
1615,89062.5
1616,87162.0
1617,92287.0
1618,126891.0
1619,132334.5
1620,155079.16
1621,140849.92
1622,154731.18
1623,291772.49
1624,213382.6
1625,125577.33
1626,173268.5
1627,191009.9
1628,286331.23
1629,175270.8
1630,382767.03
1631,226812.08
1632,253226.15
1633,167883.43
1634,183290.0
1635,182010.62
1636,168289.13
1637,170426.84
1638,206769.11
1639,182156.14
1640,244555.77
1641,180548.45
1642,220922.11
1643,221809.76
1644,230745.41
1645,184674.5
1646,153634.0
1647,161083.15
1648,147088.0
1649,140271.96
1650,122354.7
1651,120782.5
1652,92695.0
1653,99859.83
1654,160364.7
1655,153003.3
1656,150038.5
1657,156755.0
1658,154367.2
1659,142144.8
1660,146739.5
1661,422413.4
1662,379042.84
1663,373084.76
1664,436252.95
1665,316447.3
1666,337602.71
1667,361727.06
1668,329333.77
1669,297692.59
1670,329016.89
1671,251736.14
1672,451084.47
1673,301759.59
1674,248623.59
1675,189498.05
1676,191010.78
1677,216979.16
1678,421780.51
1679,393933.6
1680,337782.48
1681,272397.48
1682,306469.74
1683,188103.8
1684,173413.85
1685,175720.96
1686,168166.16
1687,167664.48
1688,189759.28
1689,193286.81
1690,183592.5
1691,173397.03
1692,276451.4
1693,168963.09
1694,183175.9
1695,167237.36
1696,264925.82
1697,167997.54
1698,354664.12
1699,333814.7
1700,238824.12
1701,268220.84
1702,256439.31
1703,252160.52
1704,303195.69
1705,246392.13
1706,405210.16
1707,217467.55
1708,218691.01
1709,282852.85
1710,225504.47
1711,264818.12
1712,231454.9
1713,242926.22
1714,220594.39
1715,202997.15
1716,174709.87
1717,155251.75
1718,138795.64
1719,211164.32
1720,255134.95
1721,157812.02
1722,130175.24
1723,155274.2
1724,207838.11
1725,236927.42
1726,188676.75
1727,181147.86
1728,187940.09
1729,161731.85
1730,167606.51
1731,122323.82
1732,129764.33
1733,123137.66
1734,131431.5
1735,135199.0
1736,115528.83
1737,373378.32
1738,215642.6
1739,256591.18
1740,195125.1
1741,185243.72
1742,164981.0
1743,164271.67
1744,307222.9
1745,220627.38
1746,270120.79
1747,210611.56
1748,207644.0
1749,158406.45
1750,150929.37
1751,231988.44
1752,121739.33
1753,141855.96
1754,210015.15
1755,168576.14
1756,122878.83
1757,121904.33
1758,150238.5
1759,163168.5
1760,157896.07
1761,148850.5
1762,178760.34
1763,163424.4
1764,115880.41
1765,174131.0
1766,169844.5
1767,199735.0
1768,138491.25
1769,160661.56
1770,137190.25
1771,137561.0
1772,137879.51
1773,141642.0
1774,127224.98
1775,131956.0
1776,120591.33
1777,119353.25
1778,129132.5
1779,118952.15
